text,is_bundled
Emerson Community Experience,0
How could Emerson engage you in building a stronger inclusive and equitable community?,0
"Discuss racism, anti-Semitism all forms of discrimination pro-actively. A consistent and educational campaign for staff, faculty and students",1
Regular communication,0
give staff time for this work,0
Engagement,0
Transparent and consistent support for marginalized students,0
"Send a message from the top of the organization that Emerson trusts its faculty and staff, and is dedicated to providing resources and flexibility to support integrating a diverse pool of talent.",0
I feel like the College has done a good job of engaging with me in this capacity.,0
I think students are engaged or would be more engaged if it felt like we were being listened to and saw change first hand. Words only take you so far,0
Showing up,0
"I wish I had a good answer for this. People are exhausted and burned out in our 3rd pandemic year. Everyone is trying to push through, hoping for a break to recharge and imagine.",0
Engage from the perspective of staff,0
Invest in staff,0
"specific but by allowing us to zoom into class especially when exposed or infected. absolutely unacceptable that I had to choose between my VERY expensive education and keeping my community safe. extremely ableist, inequitable, and immoral",0
I value social interactions with my peers especially who share my identity and often times I am unaware who they are because I am usually an uncommon identity in my classes. I would love to meet with other BIPOC students and be more involved.,0
"Compensate work that supports social justice, equity, and justice (e.g. compensate staff/students/faculty for participation on an extra committee or extra obligation)",0
"Student, faculty, staff are often viewed as three separate components/communities. There could be more collaboration between the three so all moving forward together and more supporting each other in getting the goals accomplished.",0
How can Emerson engage me?,0
"hiring more diverse staff, building promotion paths to retain them",1
Identify the gaps. (eg When had the Pres. last met with the staff?),0
Give us the time and money to do this.,0
Literature is available that describes Restorative Justice and Trauma-Informed Practices (not just teaching). I'd like to see the college invest in figuring out what potential those models hold and how it could work within a college setting.,0
just do it already,0
"Employ the ""curricula"" you teach and posted words in practice not just on social media",0
Restorative Justice,0
What are we trying to achieve,0
spend the money to support the community,0
By compensating everyone (especially diverse colleagues of color) appropriately for their labor.,0
Actually take exit interview seriously and enact changes based on that feedback.,0
"When elements of the college are told their efforts are inadequate for disabled or medically compromised people, there should be a solution provided that is not dehumanizing, does not require staff to jump through hoops.",0
"Emerson needs to engage diverse students, faculty, and staff (particularly of color) and enact changes based on their experiences instead of just creating new review committees.",0
"time needs to be made, like this survey, for staff to think through these subject",0
provide specific examples of policies and practices to change,0
"Yes, I hope specific policy and practice changes will come from BRE's work.",0
Start Staff Training,0
Get staff to recognize and report inequity,0
Individuals DO have an imporant part in this,0
"Compensation, Recognition & Appreciation",0
"stop raising tuition, take COVID more seriously, take concerns from BIPOC students more seriously",1
Willing to provide opinions and work towards end goal,0
By compensating me appropriately for my work,0
Community Members cannot work for change if they are scraping by,0
So tired.,0
Evident need to reduce community fatigue,0
me too,0
Providing more options for classes that double as requirements that focus on diversity and equity,0
Diversifying the classroom,0
Emerson-sponsored events that celebrate many different cultures,0
Agreed,0
Really look at everyone,0
please flesh out,0
establish task forces/committees responsible for creating measurable goals/timelines with representation from students/faculty/staff,0
Emerson needs to create an environment that is more results-focused on many levels.,0
There already are committees and groups and a lot of it is really performative and nothing gets done,0
"I think the really important part of this is ""measurable goals,"" because Emerson really likes to create task forces only to produce statements like ""we will try REALLY hard not to be racist anymore,"" without creating any concrete rulings""",0
This is already happening and it's not enough,0
Come together to listen to all voices.,0
There appears to be a disconnect between the equity values Emerson espouses and the student experience. Why do you think this is?,0
Students are treated like the enemies instead of the customers,0
The College really needs to look into and understand where the anti-sematic and racial comments are originating.,0
Unsure,0
not enough staff,0
Disconnect,0
"Students experience Emerson in different ways and we need better resources, services and systems to aid all students.",0
"We have a lot of wonderful idealist/visionary leaders, but fewer realists dedicated to implementation. We need a good balance of both.",0
I think the College can do better at sharing their story and the change they are working to enact. I don't think students are always aware of what is going on behind the scenes.,0
